ITEM	FILE	TC	BIN	HEX
55	.\TC1.txt	4223424	10000000111000111000000	0x4071C0
56	.\TC1.txt	9761752	100101001111001111011000	0x94F3D8
57	.\TC1.txt	7930799	11110010000001110101111	0x7903AF
58	.\TC1.txt	3597495	1101101110010010110111	0x36E4B7
59	.\TC1.txt	9302948	100011011111001110100100	0x8DF3A4
60	.\TC1.txt	2288712	1000101110110001001000	0x22EC48
61	.\TC1.txt	197187	110000001001000011	0x30243
62	.\TC1.txt	5266939	10100000101110111111011	0x505DFB
63	.\TC1.txt	221545	110110000101101001	0x36169
64	.\TC1.txt	7957027	11110010110101000100011	0x796A23
65	.\TC1.txt	3195361	1100001100000111100001	0x30C1E1
66	.\TC1.txt	7106269	11011000110111011011101	0x6C6EDD
67	.\TC1.txt	9633312	100100101111111000100000	0x92FE20
68	.\TC1.txt	9713704	100101000011100000101000	0x943828
69	.\TC1.txt	91925	10110011100010101	0x16715
70	.\TC1.txt	4418686	10000110110110001111110	0x436C7E
71	.\TC1.txt	9682250	100100111011110101001010	0x93BD4A
72	.\TC1.txt	2583824	1001110110110100010000	0x276D10
73	.\TC1.txt	4979126	10010111111100110110110	0x4BF9B6
74	.\TC1.txt	6280954	10111111101011011111010	0x5FD6FA
75	.\TC1.txt	1228610	100101011111101000010	0x12BF42
76	.\TC1.txt	705518	10101100001111101110	0xAC3EE
77	.\TC1.txt	1017653	11111000011100110101	0xF8735
78	.\TC1.txt	500098	1111010000110000010	0x7A182
79	.\TC1.txt	7210727	11011100000011011100111	0x6E06E7
80	.\TC1.txt	4250898	10000001101110100010010	0x40DD12
81	.\TC1.txt	4055028	1111011101111111110100	0x3DDFF4
82	.\TC1.txt	2754240	1010100000011011000000	0x2A06C0
83	.\TC1.txt	452999	1101110100110000111	0x6E987
84	.\TC1.txt	6831458	11010000011110101100010	0x683D62
85	.\TC1.txt	207636	110010101100010100	0x32B14
86	.\TC1.txt	7280635	11011110001011111111011	0x6F17FB
87	.\TC1.txt	3308937	1100100111110110001001	0x327D89
88	.\TC1.txt	4303570	10000011010101011010010	0x41AAD2
89	.\TC1.txt	8375055	11111111100101100001111	0x7FCB0F
90	.\TC1.txt	1457960	101100011111100101000	0x163F28
91	.\TC1.txt	5197625	10011110100111100111001	0x4F4F39
92	.\TC1.txt	3144371	1011111111101010110011	0x2FFAB3
93	.\TC1.txt	6674138	11001011101011011011010	0x65D6DA
94	.\TC1.txt	2692106	1010010001010000001010	0x29140A
95	.\TC1.txt	2276769	1000101011110110100001	0x22BDA1
96	.\TC1.txt	1940971	111011001110111101011	0x1D9DEB
97	.\TC1.txt	3288264	1100100010110011001000	0x322CC8
98	.\TC1.txt	4819803	10010011000101101011011	0x498B5B
99	.\TC1.txt	9431005	100011111110011111011101	0x8FE7DD
100	.\TC1.txt	3992019	1111001110100111010011	0x3CE9D3
101	.\TC1.txt	8184782	11111001110001111001110	0x7CE3CE
102	.\TC1.txt	2847975	1010110111010011100111	0x2B74E7
103	.\TC1.txt	7891025	11110000110100001010001	0x786851
104	.\TC1.txt	900082	11011011101111110010	0xDBBF2
105	.\TC1.txt	1831532	110111111001001101100	0x1BF26C
106	.\TC1.txt	8428253	100000001001101011011101	0x809ADD
107	.\TC1.txt	2905752	1011000101011010011000	0x2C5698
108	.\TC1.txt	9763121	100101001111100100110001	0x94F931
109	.\TC1.txt	257890	111110111101100010	0x3EF62
110	.\TC1.txt	4699761	10001111011011001110001	0x47B671
111	.\TC1.txt	359541	1010111110001110101	0x57C75
112	.\TC1.txt	3446150	1101001001010110000110	0x349586
113	.\TC1.txt	4246818	10000001100110100100010	0x40CD22
114	.\TC1.txt	1848840	111000011011000001000	0x1C3608
115	.\TC1.txt	938480	11100101000111110000	0xE51F0
116	.\TC1.txt	227465	110111100010001001	0x37889
117	.\TC1.txt	3923488	1110111101111000100000	0x3BDE20
118	.\TC1.txt	8915697	100010000000101011110001	0x880AF1
119	.\TC1.txt	4309094	10000011100000001100110	0x41C066
120	.\TC1.txt	3891251	1110110110000000110011	0x3B6033
121	.\TC1.txt	8627956	100000111010011011110100	0x83A6F4
122	.\TC1.txt	5884613	10110011100101011000101	0x59CAC5
123	.\TC1.txt	1659318	110010101000110110110	0x1951B6
124	.\TC1.txt	1834855	110111111111101100111	0x1BFF67
125	.\TC1.txt	3386751	1100111010110101111111	0x33AD7F
126	.\TC1.txt	3000166	1011011100011101100110	0x2DC766
127	.\TC1.txt	9135626	100010110110011000001010	0x8B660A
128	.\TC1.txt	4869260	10010100100110010001100	0x4A4C8C
129	.\TC1.txt	76550	10010101100000110	0x12B06
130	.\TC1.txt	432271	1101001100010001111	0x6988F
131	.\TC1.txt	251028	111101010010010100	0x3D494
132	.\TC1.txt	7016218	11010110000111100011010	0x6B0F1A
133	.\TC1.txt	6896099	11010010011100111100011	0x6939E3
134	.\TC1.txt	8386350	11111111111011100101110	0x7FF72E
135	.\TC1.txt	8637147	100000111100101011011011	0x83CADB
136	.\TC1.txt	936705	11100100101100000001	0xE4B01
137	.\TC1.txt	6602175	11001001011110110111111	0x64BDBF
138	.\TC1.txt	1429181	101011100111010111101	0x15CEBD
139	.\TC1.txt	8395138	100000000001100110000010	0x801982
140	.\TC1.txt	6132809	10111011001010001001001	0x5D9449
141	.\TC1.txt	5936917	10110101001011100010101	0x5A9715
142	.\TC1.txt	2878578	1010111110110001110010	0x2BEC72
143	.\TC1.txt	158885	100110110010100101	0x26CA5
144	.\TC1.txt	2441957	1001010100001011100101	0x2542E5
145	.\TC1.txt	5914794	10110100100000010101010	0x5A40AA
146	.\TC1.txt	3999272	1111010000011000101000	0x3D0628
147	.\TC1.txt	3142897	1011111111010011110001	0x2FF4F1
148	.\TC1.txt	8151159	11111000110000001110111	0x7C6077
149	.\TC1.txt	5147564	10011101000101110101100	0x4E8BAC
150	.\TC1.txt	4595374	10001100001111010101110	0x461EAE
151	.\TC1.txt	4234951	10000001001111011000111	0x409EC7
152	.\TC1.txt	7880605	11110000011111110011101	0x783F9D
153	.\TC1.txt	7009921	11010101111011010000001	0x6AF681
154	.\TC1.txt	695580	10101001110100011100	0xA9D1C
155	.\TC1.txt	7370443	11100000111011011001011	0x7076CB
156	.\TC1.txt	7921729	11110001110000001000001	0x78E041
157	.\TC1.txt	8419625	100000000111100100101001	0x807929
158	.\TC1.txt	7024080	11010110010110111010000	0x6B2DD0
159	.\TC1.txt	3905988	1110111001100111000100	0x3B99C4
160	.\TC1.txt	1767599	110101111100010101111	0x1AF8AF
161	.\TC1.txt	935136	11100100010011100000	0xE44E0
162	.\TC1.txt	635788	10011011001110001100	0x9B38C
163	.\TC1.txt	8807719	100001100110010100100111	0x866527
164	.\TC1.txt	317375	1001101011110111111	0x4D7BF
165	.\TC1.txt	9975410	100110000011011001110010	0x983672
166	.\TC1.txt	2727968	1010011010000000100000	0x29A020
167	.\TC1.txt	7444399	11100011001011110101111	0x7197AF
168	.\TC1.txt	4065675	1111100000100110001011	0x3E098B
169	.\TC1.txt	9925720	100101110111010001011000	0x977458
170	.\TC1.txt	2293633	1000101111111110000001	0x22FF81
171	.\TC1.txt	7734826	11101100000011000101010	0x76062A
172	.\TC1.txt	1065463	100000100000111110111	0x1041F7
173	.\TC1.txt	1105617	100001101111011010001	0x10DED1
174	.\TC1.txt	5325800	10100010100001111101000	0x5143E8
175	.\TC1.txt	3822527	1110100101001110111111	0x3A53BF
176	.\TC1.txt	5503858	10100111111101101110010	0x53FB72
177	.\TC1.txt	9214055	100011001001100001100111	0x8C9867
178	.\TC1.txt	6521769	11000111000001110101001	0x6383A9
179	.\TC1.txt	7923796	11110001110100001010100	0x78E854
180	.\TC1.txt	5250236	10100000001110010111100	0x501CBC
181	.\TC1.txt	1083154	100001000011100010010	0x108712
182	.\TC1.txt	472141	1110011010001001101	0x7344D
183	.\TC1.txt	9597454	100100100111001000001110	0x92720E
184	.\TC1.txt	1581679	110000010001001101111	0x18226F
185	.\TC1.txt	656751	10100000010101101111	0xA056F
186	.\TC1.txt	345464	1010100010101111000	0x54578
187	.\TC1.txt	4281218	10000010101001110000010	0x415382
188	.\TC1.txt	6558883	11001000001010010100011	0x6414A3
189	.\TC1.txt	3852986	1110101100101010111010	0x3ACABA
190	.\TC1.txt	6263187	10111111001000110010011	0x5F9193
191	.\TC1.txt	5828308	10110001110111011010100	0x58EED4
192	.\TC1.txt	8058535	11110101111011010100111	0x7AF6A7
193	.\TC1.txt	9035191	100010011101110110110111	0x89DDB7
194	.\TC1.txt	7922103	11110001110000110110111	0x78E1B7
195	.\TC1.txt	9366003	100011101110100111110011	0x8EE9F3
196	.\TC1.txt	4555717	10001011000001111000101	0x4583C5
197	.\TC1.txt	3526753	1101011101000001100001	0x35D061
198	.\TC1.txt	3176815	1100000111100101101111	0x30796F
199	.\TC1.txt	858440	11010001100101001000	0xD1948
200	.\TC1.txt	2250854	1000100101100001100110	0x225866

1	.\TC2.txt	7116776	11011001001011111101000	0x6C97E8
2	.\TC2.txt	1666340	110010110110100100100	0x196D24
3	.\TC2.txt	8886983	100001111001101011000111	0x879AC7
4	.\TC2.txt	839365	11001100111011000101	0xCCEC5
5	.\TC2.txt	924280	11100001101001111000	0xE1A78
6	.\TC2.txt	1026310	11111010100100000110	0xFA906
7	.\TC2.txt	1615293	110001010010110111101	0x18A5BD
8	.\TC2.txt	1063875	100000011101111000011	0x103BC3
9	.\TC2.txt	679035	10100101110001111011	0xA5C7B
10	.\TC2.txt	5201970	10011110110000000110010	0x4F6032
11	.\TC2.txt	593979	10010001000000111011	0x9103B
12	.\TC2.txt	801371	11000011101001011011	0xC3A5B
13	.\TC2.txt	3796878	1110011110111110001110	0x39EF8E
14	.\TC2.txt	7489201	11100100100011010110001	0x7246B1
15	.\TC2.txt	9740020	100101001001111011110100	0x949EF4
16	.\TC2.txt	9128737	100010110100101100100001	0x8B4B21
17	.\TC2.txt	5473463	10100111000010010110111	0x5384B7
18	.\TC2.txt	8701957	100001001100100000000101	0x84C805
19	.\TC2.txt	8238050	11111011011001111100010	0x7DB3E2
20	.\TC2.txt	8679038	100001000110111001111110	0x846E7E
21	.\TC2.txt	385912	1011110001101111000	0x5E378
22	.\TC2.txt	5867340	10110011000011101001100	0x59874C
23	.\TC2.txt	4894542	10010101010111101001110	0x4AAF4E
24	.\TC2.txt	8999451	100010010101001000011011	0x89521B
25	.\TC2.txt	4392535	10000110000011001010111	0x430657
26	.\TC2.txt	2078131	111111011010110110011	0x1FB5B3
27	.\TC2.txt	3070124	1011101101100010101100	0x2ED8AC
28	.\TC2.txt	7451998	11100011011010101011110	0x71B55E
29	.\TC2.txt	5635510	10101011111110110110110	0x55FDB6
30	.\TC2.txt	1233932	100101101010000001100	0x12D40C
31	.\TC2.txt	6089867	10111001110110010001011	0x5CEC8B
32	.\TC2.txt	1792316	110110101100100111100	0x1B593C
33	.\TC2.txt	6298637	11000000001110000001101	0x601C0D
34	.\TC2.txt	2408038	1001001011111001100110	0x24BE66
35	.\TC2.txt	8510100	100000011101101010010100	0x81DA94
36	.\TC2.txt	991581	11110010000101011101	0xF215D
37	.\TC2.txt	6455739	11000101000000110111011	0x6281BB
38	.\TC2.txt	7829175	11101110111011010110111	0x7776B7
39	.\TC2.txt	6328931	11000001001001001100011	0x609263
40	.\TC2.txt	9982305	100110000101000101100001	0x985161
41	.\TC2.txt	2292022	1000101111100100110110	0x22F936
42	.\TC2.txt	1070496	100000101010110100000	0x1055A0
43	.\TC2.txt	8518360	100000011111101011011000	0x81FAD8
44	.\TC2.txt	6378470	11000010101001111100110	0x6153E6
45	.\TC2.txt	7756258	11101100101100111100010	0x7659E2
46	.\TC2.txt	7111767	11011001000010001010111	0x6C8457
47	.\TC2.txt	2685897	1010001111101111001001	0x28FBC9
48	.\TC2.txt	617946	10010110110111011010	0x96DDA
49	.\TC2.txt	246280	111100001000001000	0x3C208
50	.\TC2.txt	6075442	10111001011010000110010	0x5CB432
51	.\TC2.txt	991323	11110010000001011011	0xF205B
52	.\TC2.txt	6754202	11001110000111110011010	0x670F9A
53	.\TC2.txt	3103178	1011110101100111001010	0x2F59CA
54	.\TC2.txt	3228842	1100010100010010101010	0x3144AA
55	.\TC2.txt	6786623	11001111000111000111111	0x678E3F
56	.\TC2.txt	5329085	10100010101000010111101	0x5150BD
57	.\TC2.txt	2334647	1000111001111110110111	0x239FB7
58	.\TC2.txt	7253396	11011101010110110010100	0x6EAD94
59	.\TC2.txt	6516953	11000110111000011011001	0x6370D9
60	.\TC2.txt	5972725	10110110010001011110101	0x5B22F5
61	.\TC2.txt	5828037	10110001110110111000101	0x58EDC5
62	.\TC2.txt	6642265	11001010101101001011001	0x655A59
63	.\TC2.txt	2559699	1001110000111011010011	0x270ED3
64	.\TC2.txt	6597631	11001001010101111111111	0x64ABFF
65	.\TC2.txt	5826202	10110001110011010011010	0x58E69A
66	.\TC2.txt	4642335	10001101101011000011111	0x46D61F
67	.\TC2.txt	1862900	111000110110011110100	0x1C6CF4
68	.\TC2.txt	6039635	10111000010100001010011	0x5C2853
69	.\TC2.txt	3358744	1100110100000000011000	0x334018
70	.\TC2.txt	4965249	10010111100001110000001	0x4BC381
71	.\TC2.txt	6621475	11001010000100100100011	0x650923
72	.\TC2.txt	3336153	1100101110011111011001	0x32E7D9
73	.\TC2.txt	1044743	11111111000100000111	0xFF107
74	.\TC2.txt	6201477	10111101010000010000101	0x5EA085
75	.\TC2.txt	6297100	11000000001011000001100	0x60160C
76	.\TC2.txt	885678	11011000001110101110	0xD83AE
77	.\TC2.txt	8546891	100000100110101001001011	0x826A4B
78	.\TC2.txt	6683923	11001011111110100010011	0x65FD13
79	.\TC2.txt	7064472	11010111100101110011000	0x6BCB98
80	.\TC2.txt	3430021	1101000101011010000101	0x345685
81	.\TC2.txt	9764122	100101001111110100011010	0x94FD1A
82	.\TC2.txt	9958605	100101111111010011001101	0x97F4CD
83	.\TC2.txt	1006022	11110101100111000110	0xF59C6
84	.\TC2.txt	5276496	10100001000001101010000	0x508350
85	.\TC2.txt	8876232	100001110111000011001000	0x8770C8
86	.\TC2.txt	3364648	1100110101011100101000	0x335728
87	.\TC2.txt	3539979	1101100000010000001011	0x36040B
88	.\TC2.txt	3003857	1011011101010111010001	0x2DD5D1
89	.\TC2.txt	4481634	10001000110001001100010	0x446262
90	.\TC2.txt	9035781	100010011110000000000101	0x89E005
91	.\TC2.txt	3767021	1110010111101011101101	0x397AED
92	.\TC2.txt	4993901	10011000011001101101101	0x4C336D
93	.\TC2.txt	8698377	100001001011101000001001	0x84BA09
94	.\TC2.txt	4626501	10001101001100001000101	0x469845
95	.\TC2.txt	1755352	110101100100011011000	0x1AC8D8
96	.\TC2.txt	2755340	1010100000101100001100	0x2A0B0C
97	.\TC2.txt	5150616	10011101001011110011000	0x4E9798
98	.\TC2.txt	9345169	100011101001100010010001	0x8E9891
99	.\TC2.txt	848948	11001111010000110100	0xCF434
100	.\TC2.txt	2708748	1010010101010100001100	0x29550C
101	.\TC2.txt	8372451	11111111100000011100011	0x7FC0E3
102	.\TC2.txt	3523015	1101011100000111000111	0x35C1C7
103	.\TC2.txt	2624283	1010000000101100011011	0x280B1B
104	.\TC2.txt	8795348	100001100011010011010100	0x8634D4
105	.\TC2.txt	2318100	1000110101111100010100	0x235F14
106	.\TC2.txt	4750861	10010000111111000001101	0x487E0D
107	.\TC2.txt	3770597	1110011000100011100101	0x3988E5
108	.\TC2.txt	1053352	100000001001010101000	0x1012A8
109	.\TC2.txt	833307	11001011011100011011	0xCB71B
110	.\TC2.txt	4632526	10001101010111111001110	0x46AFCE
111	.\TC2.txt	2212917	1000011100010000110101	0x21C435
112	.\TC2.txt	5053189	10011010001101100000101	0x4D1B05
113	.\TC2.txt	412218	1100100101000111010	0x64A3A
114	.\TC2.txt	4901564	10010101100101010111100	0x4ACABC
115	.\TC2.txt	5094606	10011011011110011001110	0x4DBCCE
116	.\TC2.txt	8070285	11110110010010010001101	0x7B248D
117	.\TC2.txt	6847905	11010000111110110100001	0x687DA1
118	.\TC2.txt	4311824	10000011100101100010000	0x41CB10
119	.\TC2.txt	3009421	1011011110101110001101	0x2DEB8D
120	.\TC2.txt	1629105	110001101101110110001	0x18DBB1
121	.\TC2.txt	8431899	100000001010100100011011	0x80A91B
122	.\TC2.txt	7582456	11100111011001011111000	0x73B2F8
123	.\TC2.txt	7332147	11011111110000100110011	0x6FE133
124	.\TC2.txt	314183	1001100101101000111	0x4CB47
125	.\TC2.txt	7632568	11101000111011010111000	0x7476B8
126	.\TC2.txt	8161327	11111001000100000101111	0x7C882F
127	.\TC2.txt	6961087	11010100011011110111111	0x6A37BF
128	.\TC2.txt	6898282	11010010100001001101010	0x69426A
129	.\TC2.txt	9749303	100101001100001100110111	0x94C337
130	.\TC2.txt	4427419	10000111000111010011011	0x438E9B
131	.\TC2.txt	4368829	10000101010100110111101	0x42A9BD
132	.\TC2.txt	6439318	11000100100000110010110	0x624196
133	.\TC2.txt	6473603	11000101100011110000011	0x62C783
134	.\TC2.txt	6446249	11000100101110010101001	0x625CA9
135	.\TC2.txt	9818836	100101011101001011010100	0x95D2D4
136	.\TC2.txt	9438069	100100000000001101110101	0x900375
137	.\TC2.txt	2809499	1010101101111010011011	0x2ADE9B
138	.\TC2.txt	3460304	1101001100110011010000	0x34CCD0
139	.\TC2.txt	8430904	100000001010010100111000	0x80A538
140	.\TC2.txt	9774785	100101010010011011000001	0x9526C1
141	.\TC2.txt	9560603	100100011110001000011011	0x91E21B
142	.\TC2.txt	3440732	1101001000000001011100	0x34805C
143	.\TC2.txt	7053263	11010111001111111001111	0x6B9FCF
144	.\TC2.txt	287398	1000110001010100110	0x462A6
145	.\TC2.txt	4043644	1111011011001101111100	0x3DB37C
146	.\TC2.txt	2943820	1011001110101101001100	0x2CEB4C
147	.\TC2.txt	9030962	100010011100110100110010	0x89CD32
148	.\TC2.txt	7537540	11100110000001110000100	0x730384
149	.\TC2.txt	7203657	11011011110101101001001	0x6DEB49
150	.\TC2.txt	5639400	10101100000110011101000	0x560CE8
151	.\TC2.txt	9448142	100100000010101011001110	0x902ACE
152	.\TC2.txt	9954392	100101111110010001011000	0x97E458
153	.\TC2.txt	2856859	1010111001011110011011	0x2B979B
154	.\TC2.txt	1332118	101000101001110010110	0x145396
155	.\TC2.txt	6984725	11010101001010000010101	0x6A9415
156	.\TC2.txt	1925762	111010110001010000010	0x1D6282
157	.\TC2.txt	2138171	1000001010000000111011	0x20A03B
158	.\TC2.txt	347447	1010100110100110111	0x54D37
159	.\TC2.txt	8839390	100001101110000011011110	0x86E0DE
160	.\TC2.txt	3951652	1111000100110000100100	0x3C4C24
161	.\TC2.txt	3755102	1110010100110001011110	0x394C5E
162	.\TC2.txt	6867687	11010001100101011100111	0x68CAE7
163	.\TC2.txt	4383175	10000101110000111000111	0x42E1C7
164	.\TC2.txt	7125508	11011001011101000000100	0x6CBA04
165	.\TC2.txt	7799732	11101110000001110110100	0x7703B4
166	.\TC2.txt	8784156	100001100000100100011100	0x86091C
167	.\TC2.txt	1372809	101001111001010001001	0x14F289
168	.\TC2.txt	1327984	101000100001101110000	0x144370
169	.\TC2.txt	9205087	100011000111010101011111	0x8C755F
170	.\TC2.txt	6524241	11000111000110101010001	0x638D51
171	.\TC2.txt	9316072	100011100010011011101000	0x8E26E8
172	.\TC2.txt	127744	11111001100000000	0x1F300
173	.\TC2.txt	8388820	100000000000000011010100	0x8000D4
174	.\TC2.txt	6883557	11010010000100011100101	0x6908E5
175	.\TC2.txt	2291239	1000101111011000100111	0x22F627
176	.\TC2.txt	3101270	1011110101001001010110	0x2F5256
177	.\TC2.txt	1382825	101010001100110101001	0x1519A9
178	.\TC2.txt	9873376	100101101010011111100000	0x96A7E0
179	.\TC2.txt	6873500	11010001110000110011100	0x68E19C
180	.\TC2.txt	8185634	11111001110011100100010	0x7CE722
181	.\TC2.txt	2464786	1001011001110000010010	0x259C12
182	.\TC2.txt	8387154	11111111111101001010010	0x7FFA52
183	.\TC2.txt	5581444	10101010010101010000100	0x552A84
184	.\TC2.txt	8097911	11110111001000001110111	0x7B9077
185	.\TC2.txt	8882527	100001111000100101011111	0x87895F
186	.\TC2.txt	8941444	100010000110111110000100	0x886F84
187	.\TC2.txt	4942703	10010110110101101101111	0x4B6B6F
188	.\TC2.txt	101144	11000101100011000	0x18B18
189	.\TC2.txt	7471180	11100100000000001001100	0x72004C
190	.\TC2.txt	1932131	111010111101101100011	0x1D7B63
191	.\TC2.txt	8052752	11110101110000000010000	0x7AE010
192	.\TC2.txt	6359493	11000010000100111000101	0x6109C5
193	.\TC2.txt	1967646	111100000011000011110	0x1E061E
194	.\TC2.txt	6575052	11001000101001111001100	0x6453CC
195	.\TC2.txt	2323342	1000110111001110001110	0x23738E
196	.\TC2.txt	6735760	11001101100011110010000	0x66C790
197	.\TC2.txt	8895858	100001111011110101110010	0x87BD72
198	.\TC2.txt	4238091	10000001010101100001011	0x40AB0B
199	.\TC2.txt	7093069	11011000011101101001101	0x6C3B4D
200	.\TC2.txt	39	100111	0x27

1	.\TC3.txt	-39	1111011001	0xFFFFFFFFD9
2	.\TC3.txt	-36	1111011100	0xFFFFFFFFDC
3	.\TC3.txt	8	1000	0x8
4	.\TC3.txt	34	100010	0x22
5	.\TC3.txt	17	10001	0x11
6	.\TC3.txt	49	110001	0x31
7	.\TC3.txt	5	101	0x5
8	.\TC3.txt	39	100111	0x27
9	.\TC3.txt	0	0	0
10	.\TC3.txt	33	100001	0x21
11	.\TC3.txt	12	1100	0xC
12	.\TC3.txt	-6	1111111010	0xFFFFFFFFFA
13	.\TC3.txt	27	11011	0x1B
14	.\TC3.txt	-4	1111111100	0xFFFFFFFFFC
15	.\TC3.txt	-38	1111011010	0xFFFFFFFFDA
16	.\TC3.txt	26	11010	0x1A
17	.\TC3.txt	49	110001	0x31
18	.\TC3.txt	29	11101	0x1D
19	.\TC3.txt	42	101010	0x2A
20	.\TC3.txt	-16	1111110000	0xFFFFFFFFF0
21	.\TC3.txt	-28	1111100100	0xFFFFFFFFE4
22	.\TC3.txt	34	100010	0x22
23	.\TC3.txt	20	10100	0x14
24	.\TC3.txt	0	0	0
25	.\TC3.txt	25	11001	0x19
26	.\TC3.txt	45	101101	0x2D
27	.\TC3.txt	3	11	0x3
28	.\TC3.txt	-46	1111010010	0xFFFFFFFFD2
29	.\TC3.txt	-46	1111010010	0xFFFFFFFFD2
30	.\TC3.txt	29	11101	0x1D
31	.\TC3.txt	33	100001	0x21
32	.\TC3.txt	29	11101	0x1D
33	.\TC3.txt	26	11010	0x1A
34	.\TC3.txt	-5	1111111011	0xFFFFFFFFFB
35	.\TC3.txt	-36	1111011100	0xFFFFFFFFDC
36	.\TC3.txt	12	1100	0xC
37	.\TC3.txt	45	101101	0x2D
38	.\TC3.txt	-50	1111001110	0xFFFFFFFFCE
39	.\TC3.txt	0	0	0
40	.\TC3.txt	-6	1111111010	0xFFFFFFFFFA
41	.\TC3.txt	-39	1111011001	0xFFFFFFFFD9
42	.\TC3.txt	35	100011	0x23
43	.\TC3.txt	26	11010	0x1A
44	.\TC3.txt	-35	1111011101	0xFFFFFFFFDD
45	.\TC3.txt	-42	1111010110	0xFFFFFFFFD6
46	.\TC3.txt	14	1110	0xE
47	.\TC3.txt	-3	1111111101	0xFFFFFFFFFD
48	.\TC3.txt	22	10110	0x16
49	.\TC3.txt	-47	1111010001	0xFFFFFFFFD1
50	.\TC3.txt	12	1100	0xC
51	.\TC3.txt	-17	1111101111	0xFFFFFFFFEF
52	.\TC3.txt	-31	1111100001	0xFFFFFFFFE1
53	.\TC3.txt	-25	1111100111	0xFFFFFFFFE7
54	.\TC3.txt	-35	1111011101	0xFFFFFFFFDD
55	.\TC3.txt	-18	1111101110	0xFFFFFFFFEE
56	.\TC3.txt	14	1110	0xE
57	.\TC3.txt	37	100101	0x25
58	.\TC3.txt	-8	1111111000	0xFFFFFFFFF8
59	.\TC3.txt	-41	1111010111	0xFFFFFFFFD7
60	.\TC3.txt	-50	1111001110	0xFFFFFFFFCE
61	.\TC3.txt	-9	1111110111	0xFFFFFFFFF7
62	.\TC3.txt	2	10	0x2
63	.\TC3.txt	12	1100	0xC
64	.\TC3.txt	-39	1111011001	0xFFFFFFFFD9
65	.\TC3.txt	-17	1111101111	0xFFFFFFFFEF
66	.\TC3.txt	0	0	0
67	.\TC3.txt	27	11011	0x1B
